Laser delay,Gate width,Counts
14.0,0.0,-3637.0
14.0,-0.09999999999999964,-3797.0
14.0,3.0,58619.0
14.0,2.9000000000000004,50041.0
14.0,2.8,43018.0
14.0,2.7,37947.0
14.0,2.5999999999999996,33190.0
14.0,2.5,28101.0
14.0,2.4000000000000004,24545.0
14.0,2.3,21477.0
14.0,2.2,18393.0
14.0,2.0999999999999996,15940.0
14.0,2.0,13121.0
14.0,1.9000000000000004,11243.0
14.0,1.8000000000000007,9000.0
14.0,1.6999999999999993,7039.0
14.0,1.5999999999999996,5333.0
14.0,1.5,4027.0
14.0,1.4000000000000004,2817.0
14.0,1.3000000000000007,1859.0
14.0,1.1999999999999993,953.0
14.0,1.0999999999999996,157.0
14.0,1.0,-367.0
14.0,0.9000000000000004,-916.0
14.0,0.8000000000000007,-1385.0
14.0,0.6999999999999993,-1720.0
14.0,0.5999999999999996,-2250.0
14.0,0.5,-2617.0
14.0,0.40000000000000036,-2782.0
14.0,0.3000000000000007,-3177.0
14.0,0.1999999999999993,166.0
14.0,0.09999999999999964,-3578.0
14.05,0.0,-3471.0
14.05,-0.09999999999999964,-3864.0
14.05,3.0,62806.0
14.05,2.9000000000000004,53530.0
14.05,2.8,47147.0
14.05,2.7,38601.0
14.05,2.5999999999999996,35740.0
14.05,2.5,30214.0
14.05,2.4000000000000004,26373.0
14.05,2.3,22600.0
14.05,2.2,19758.0
14.05,2.0999999999999996,17117.0
14.05,2.0,14471.0
14.05,1.9000000000000004,11936.0
14.05,1.8000000000000007,9736.0
14.05,1.6999999999999993,7619.0
14.05,1.5999999999999996,5947.0
14.05,1.5,4282.0
14.05,1.4000000000000004,3033.0
14.05,1.3000000000000007,1914.0
14.05,1.1999999999999993,1089.0
14.05,1.0999999999999996,300.0
14.05,1.0,-261.0
14.05,0.9000000000000004,-855.0
14.05,0.8000000000000007,-1181.0
14.05,0.6999999999999993,-1741.0
14.05,0.5999999999999996,-2105.0
14.05,0.5,-2477.0
14.05,0.40000000000000036,-2798.0
14.05,0.3000000000000007,-3169.0
14.05,0.1999999999999993,-3264.0
14.05,0.09999999999999964,-3509.0
14.1,0.0,-3665.0
14.1,-0.09999999999999964,-3878.0
14.1,3.0,67344.0
