x, y
0.05451713395638629, 0
0.2531152647975078, 0
0.4984423676012461, 0
0.677570093457944, 0
0.7281931464174455, 4.073550212164074
0.7437694704049844, 10.862800565770863
0.7671339563862928, 54.65346534653465
0.7827102803738317, 109.64639321074965
0.7904984423676013, 159.88684582743988
0.8099688473520249, 234.22913719943423
0.8372274143302181, 159.54738330975954
0.852803738317757, 109.64639321074965
0.8761682242990654, 54.31400282885431
0.8878504672897196, 39.71711456859972
0.942367601246106, 25.45968882602546
1.0124610591900312, 33.26732673267327
1.0669781931464175, 40.05657708628006
1.1331775700934579, 30.55162659123055
1.2616822429906542, 14.257425742574258
1.5771028037383177, 4.073550212164074
1.9431464174454829, 0
2.4338006230529596, 0
2.998442367601246, 0
0.9073208722741433, 32.92786421499293
1.0358255451713396, 36.66195190947666
1.1059190031152648, 36.322489391796324
1.1876947040498442, 21.725601131541726
1.3434579439252337, 8.486562942008486
0.7982866043613707, 199.26449787835926
0.8294392523364486, 199.26449787835926
